id,bge_text,ticker,company_name,year,field_code,field_name,val,esg_bucket
AA US Equity_2007_ES077,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: GHG Scope 2 Location-Based (Code: ES077) = 26300,AA US Equity,Alcoa Corp,2007,ES077,GHG Scope 2 Location-Based,26300,ES
AA US Equity_2007_ES088,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Biodiversity Policy (Code: ES088) = True,AA US Equity,Alcoa Corp,2007,ES088,Biodiversity Policy,True,ES
AA US Equity_2007_ES092,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Lost Time Incident Rate - Employees (Code: ES092) = 0.12,AA US Equity,Alcoa Corp,2007,ES092,Lost Time Incident Rate - Employees,0.12,ES
AA US Equity_2007_ES105,"Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Climate Change Opportunities
  Discussed (Code: ES105) = False",AA US Equity,Alcoa Corp,2007,ES105,"Climate Change Opportunities
  Discussed",False,ES
AA US Equity_2007_ES106,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Risks of Climate Change Discussed (Code: ES106) = True,AA US Equity,Alcoa Corp,2007,ES106,Risks of Climate Change Discussed,True,ES
AA US Equity_2007_ES121,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Total Recordable Incident Rate - Employees (Code: ES121) = 1.46,AA US Equity,Alcoa Corp,2007,ES121,Total Recordable Incident Rate - Employees,1.46,ES
AA US Equity_2007_ES197,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Anti-Bribery Ethics Policy (Code: ES197) = True,AA US Equity,Alcoa Corp,2007,ES197,Anti-Bribery Ethics Policy,True,ES
AA US Equity_2007_ES247,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Water Policy (Code: ES247) = True,AA US Equity,Alcoa Corp,2007,ES247,Water Policy,True,ES
AA US Equity_2007_F0947,"Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions (Code: F0947) = 31.3",AA US Equity,Alcoa Corp,2007,F0947,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",31.3,ES
AA US Equity_2007_F0949,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Sulphur Dioxide / Sulphur Oxide Emissions (Code: F0949) = 214.6,AA US Equity,Alcoa Corp,2007,F0949,Sulphur Dioxide / Sulphur Oxide Emissions,214.6,ES
AA US Equity_2007_F1442,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Fatality Rate - Employees (Code: F1442) = 0.04,AA US Equity,Alcoa Corp,2007,F1442,Fatality Rate - Employees,0.04,ES
AA US Equity_2008_ES007,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Nitrogen Oxide Emissions (Code: ES007) = 31.7,AA US Equity,Alcoa Corp,2008,ES007,Nitrogen Oxide Emissions,31.7,ES
AA US Equity_2008_ES009,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: VOC Emissions (Code: ES009) = 7.3,AA US Equity,Alcoa Corp,2008,ES009,VOC Emissions,7.3,ES
AA US Equity_2008_ES036,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Emissions Reduction Initiatives (Code: ES036) = True,AA US Equity,Alcoa Corp,2008,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity_2008_ES041,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Environmental Quality ManagementPolicy (Code: ES041) = False,AA US Equity,Alcoa Corp,2008,ES041,Environmental Quality ManagementPolicy,False,ES
AA US Equity_2008_ES045,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Pct Employees Unionized (Code: ES045) = 65.52,AA US Equity,Alcoa Corp,2008,ES045,Pct Employees Unionized,65.52,ES
AA US Equity_2008_ES057,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Health and Safety Policy (Code: ES057) = True,AA US Equity,Alcoa Corp,2008,ES057,Health and Safety Policy,True,ES
AA US Equity_2008_ES059,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Human Rights Policy (Code: ES059) = True,AA US Equity,Alcoa Corp,2008,ES059,Human Rights Policy,True,ES
AA US Equity_2008_ES077,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: GHG Scope 2 Location-Based (Code: ES077) = 27100,AA US Equity,Alcoa Corp,2008,ES077,GHG Scope 2 Location-Based,27100,ES
AA US Equity_2008_ES088,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Biodiversity Policy (Code: ES088) = True,AA US Equity,Alcoa Corp,2008,ES088,Biodiversity Policy,True,ES
AA US Equity_2008_ES092,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Lost Time Incident Rate - Employees (Code: ES092) = 0.12,AA US Equity,Alcoa Corp,2008,ES092,Lost Time Incident Rate - Employees,0.12,ES
AA US Equity_2008_ES105,"Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Climate Change Opportunities
  Discussed (Code: ES105) = False",AA US Equity,Alcoa Corp,2008,ES105,"Climate Change Opportunities
  Discussed",False,ES
AA US Equity_2008_ES106,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Risks of Climate Change Discussed (Code: ES106) = True,AA US Equity,Alcoa Corp,2008,ES106,Risks of Climate Change Discussed,True,ES
AA US Equity_2008_ES197,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Anti-Bribery Ethics Policy (Code: ES197) = False,AA US Equity,Alcoa Corp,2008,ES197,Anti-Bribery Ethics Policy,False,ES
AA US Equity_2008_ES247,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Water Policy (Code: ES247) = True,AA US Equity,Alcoa Corp,2008,ES247,Water Policy,True,ES
AA US Equity_2008_F0947,"Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions (Code: F0947) = 30",AA US Equity,Alcoa Corp,2008,F0947,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",30,ES
AA US Equity_2008_F0949,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Sulphur Dioxide / Sulphur Oxide Emissions (Code: F0949) = 207,AA US Equity,Alcoa Corp,2008,F0949,Sulphur Dioxide / Sulphur Oxide Emissions,207,ES
AA US Equity_2008_F1442,Company: Alcoa Corp (Ticker: AA US Equity) in 2008: Fatality Rate - Employees (Code: F1442) = 0.05,AA US Equity,Alcoa Corp,2008,F1442,Fatality Rate - Employees,0.05,ES
AA US Equity_2009_ES007,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Nitrogen Oxide Emissions (Code: ES007) = 30.9,AA US Equity,Alcoa Corp,2009,ES007,Nitrogen Oxide Emissions,30.9,ES
AA US Equity_2009_ES009,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: VOC Emissions (Code: ES009) = 5.4,AA US Equity,Alcoa Corp,2009,ES009,VOC Emissions,5.4,ES
AA US Equity_2009_ES036,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Emissions Reduction Initiatives (Code: ES036) = True,AA US Equity,Alcoa Corp,2009,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity_2009_ES041,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Environmental Quality ManagementPolicy (Code: ES041) = True,AA US Equity,Alcoa Corp,2009,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity_2009_ES045,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Pct Employees Unionized (Code: ES045) = 62.71,AA US Equity,Alcoa Corp,2009,ES045,Pct Employees Unionized,62.71,ES
AA US Equity_2009_ES057,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Health and Safety Policy (Code: ES057) = True,AA US Equity,Alcoa Corp,2009,ES057,Health and Safety Policy,True,ES
AA US Equity_2009_ES059,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Human Rights Policy (Code: ES059) = True,AA US Equity,Alcoa Corp,2009,ES059,Human Rights Policy,True,ES
AA US Equity_2009_ES077,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: GHG Scope 2 Location-Based (Code: ES077) = 19800,AA US Equity,Alcoa Corp,2009,ES077,GHG Scope 2 Location-Based,19800,ES
AA US Equity_2009_ES088,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Biodiversity Policy (Code: ES088) = True,AA US Equity,Alcoa Corp,2009,ES088,Biodiversity Policy,True,ES
AA US Equity_2009_ES092,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Lost Time Incident Rate - Employees (Code: ES092) = 0.13,AA US Equity,Alcoa Corp,2009,ES092,Lost Time Incident Rate - Employees,0.13,ES
AA US Equity_2009_ES105,"Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Climate Change Opportunities
  Discussed (Code: ES105) = False",AA US Equity,Alcoa Corp,2009,ES105,"Climate Change Opportunities
  Discussed",False,ES
AA US Equity_2009_ES106,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Risks of Climate Change Discussed (Code: ES106) = True,AA US Equity,Alcoa Corp,2009,ES106,Risks of Climate Change Discussed,True,ES
AA US Equity_2009_ES121,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Total Recordable Incident Rate - Employees (Code: ES121) = 1.28,AA US Equity,Alcoa Corp,2009,ES121,Total Recordable Incident Rate - Employees,1.28,ES
AA US Equity_2009_ES197,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Anti-Bribery Ethics Policy (Code: ES197) = False,AA US Equity,Alcoa Corp,2009,ES197,Anti-Bribery Ethics Policy,False,ES
AA US Equity_2009_ES247,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Water Policy (Code: ES247) = True,AA US Equity,Alcoa Corp,2009,ES247,Water Policy,True,ES
AA US Equity_2009_F0947,"Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions (Code: F0947) = 26",AA US Equity,Alcoa Corp,2009,F0947,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",26,ES
AA US Equity_2009_F0949,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Sulphur Dioxide / Sulphur Oxide Emissions (Code: F0949) = 140.7,AA US Equity,Alcoa Corp,2009,F0949,Sulphur Dioxide / Sulphur Oxide Emissions,140.7,ES
AA US Equity_2009_F1442,Company: Alcoa Corp (Ticker: AA US Equity) in 2009: Fatality Rate - Employees (Code: F1442) = 0.03,AA US Equity,Alcoa Corp,2009,F1442,Fatality Rate - Employees,0.03,ES
AA US Equity_2010_ES007,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Nitrogen Oxide Emissions (Code: ES007) = 30,AA US Equity,Alcoa Corp,2010,ES007,Nitrogen Oxide Emissions,30,ES
AA US Equity_2010_ES009,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: VOC Emissions (Code: ES009) = 4.9,AA US Equity,Alcoa Corp,2010,ES009,VOC Emissions,4.9,ES
AA US Equity_2010_ES014,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Total Energy Consumption (Code: ES014) = 133228,AA US Equity,Alcoa Corp,2010,ES014,Total Energy Consumption,133228,ES
AA US Equity_2010_ES036,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Emissions Reduction Initiatives (Code: ES036) = True,AA US Equity,Alcoa Corp,2010,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity_2010_ES041,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Environmental Quality ManagementPolicy (Code: ES041) = True,AA US Equity,Alcoa Corp,2010,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity_2010_ES045,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Pct Employees Unionized (Code: ES045) = 64.07,AA US Equity,Alcoa Corp,2010,ES045,Pct Employees Unionized,64.07,ES
AA US Equity_2010_ES057,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Health and Safety Policy (Code: ES057) = True,AA US Equity,Alcoa Corp,2010,ES057,Health and Safety Policy,True,ES
AA US Equity_2010_ES059,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Human Rights Policy (Code: ES059) = True,AA US Equity,Alcoa Corp,2010,ES059,Human Rights Policy,True,ES
AA US Equity_2010_ES077,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: GHG Scope 2 Location-Based (Code: ES077) = 15900,AA US Equity,Alcoa Corp,2010,ES077,GHG Scope 2 Location-Based,15900,ES
AA US Equity_2010_ES088,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Biodiversity Policy (Code: ES088) = True,AA US Equity,Alcoa Corp,2010,ES088,Biodiversity Policy,True,ES
AA US Equity_2010_ES092,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Lost Time Incident Rate - Employees (Code: ES092) = 0.12,AA US Equity,Alcoa Corp,2010,ES092,Lost Time Incident Rate - Employees,0.12,ES
AA US Equity_2010_ES105,"Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Climate Change Opportunities
  Discussed (Code: ES105) = False",AA US Equity,Alcoa Corp,2010,ES105,"Climate Change Opportunities
  Discussed",False,ES
AA US Equity_2010_ES106,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Risks of Climate Change Discussed (Code: ES106) = True,AA US Equity,Alcoa Corp,2010,ES106,Risks of Climate Change Discussed,True,ES
AA US Equity_2010_ES121,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Total Recordable Incident Rate - Employees (Code: ES121) = 1.35,AA US Equity,Alcoa Corp,2010,ES121,Total Recordable Incident Rate - Employees,1.35,ES
AA US Equity_2010_ES197,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Anti-Bribery Ethics Policy (Code: ES197) = True,AA US Equity,Alcoa Corp,2010,ES197,Anti-Bribery Ethics Policy,True,ES
AA US Equity_2010_ES247,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Water Policy (Code: ES247) = True,AA US Equity,Alcoa Corp,2010,ES247,Water Policy,True,ES
AA US Equity_2010_F0947,"Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions (Code: F0947) = 29.5",AA US Equity,Alcoa Corp,2010,F0947,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",29.5,ES
AA US Equity_2010_F0949,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Sulphur Dioxide / Sulphur Oxide Emissions (Code: F0949) = 148.5,AA US Equity,Alcoa Corp,2010,F0949,Sulphur Dioxide / Sulphur Oxide Emissions,148.5,ES
AA US Equity_2010_F1442,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Fatality Rate - Employees (Code: F1442) = 0.05,AA US Equity,Alcoa Corp,2010,F1442,Fatality Rate - Employees,0.05,ES
AA US Equity_2010_SA020,Company: Alcoa Corp (Ticker: AA US Equity) in 2010: Freshwater Withdrawals (Code: SA020) = 104900,AA US Equity,Alcoa Corp,2010,SA020,Freshwater Withdrawals,104900,ES
AA US Equity_2011_ES007,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Nitrogen Oxide Emissions (Code: ES007) = 38.1,AA US Equity,Alcoa Corp,2011,ES007,Nitrogen Oxide Emissions,38.1,ES
AA US Equity_2011_ES009,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: VOC Emissions (Code: ES009) = 5,AA US Equity,Alcoa Corp,2011,ES009,VOC Emissions,5,ES
AA US Equity_2011_ES014,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Total Energy Consumption (Code: ES014) = 90767.8,AA US Equity,Alcoa Corp,2011,ES014,Total Energy Consumption,90767.8,ES
AA US Equity_2011_ES036,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Emissions Reduction Initiatives (Code: ES036) = True,AA US Equity,Alcoa Corp,2011,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity_2011_ES041,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Environmental Quality ManagementPolicy (Code: ES041) = True,AA US Equity,Alcoa Corp,2011,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity_2011_ES045,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Pct Employees Unionized (Code: ES045) = 50.81,AA US Equity,Alcoa Corp,2011,ES045,Pct Employees Unionized,50.81,ES
AA US Equity_2011_ES057,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Health and Safety Policy (Code: ES057) = True,AA US Equity,Alcoa Corp,2011,ES057,Health and Safety Policy,True,ES
AA US Equity_2011_ES059,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Human Rights Policy (Code: ES059) = True,AA US Equity,Alcoa Corp,2011,ES059,Human Rights Policy,True,ES
AA US Equity_2011_ES077,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: GHG Scope 2 Location-Based (Code: ES077) = 16600,AA US Equity,Alcoa Corp,2011,ES077,GHG Scope 2 Location-Based,16600,ES
AA US Equity_2011_ES088,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Biodiversity Policy (Code: ES088) = True,AA US Equity,Alcoa Corp,2011,ES088,Biodiversity Policy,True,ES
AA US Equity_2011_ES092,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Lost Time Incident Rate - Employees (Code: ES092) = 0.12,AA US Equity,Alcoa Corp,2011,ES092,Lost Time Incident Rate - Employees,0.12,ES
AA US Equity_2011_ES105,"Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Climate Change Opportunities
  Discussed (Code: ES105) = False",AA US Equity,Alcoa Corp,2011,ES105,"Climate Change Opportunities
  Discussed",False,ES
AA US Equity_2011_ES106,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Risks of Climate Change Discussed (Code: ES106) = True,AA US Equity,Alcoa Corp,2011,ES106,Risks of Climate Change Discussed,True,ES
AA US Equity_2011_ES121,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Total Recordable Incident Rate - Employees (Code: ES121) = 1.24,AA US Equity,Alcoa Corp,2011,ES121,Total Recordable Incident Rate - Employees,1.24,ES
AA US Equity_2011_ES197,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Anti-Bribery Ethics Policy (Code: ES197) = True,AA US Equity,Alcoa Corp,2011,ES197,Anti-Bribery Ethics Policy,True,ES
AA US Equity_2011_ES247,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Water Policy (Code: ES247) = True,AA US Equity,Alcoa Corp,2011,ES247,Water Policy,True,ES
AA US Equity_2011_F0947,"Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions (Code: F0947) = 30.6",AA US Equity,Alcoa Corp,2011,F0947,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",30.6,ES
AA US Equity_2011_F0949,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Sulphur Dioxide / Sulphur Oxide Emissions (Code: F0949) = 148.5,AA US Equity,Alcoa Corp,2011,F0949,Sulphur Dioxide / Sulphur Oxide Emissions,148.5,ES
AA US Equity_2011_SA011,"Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Percentage Renewable Energy
  Consumed (Code: SA011) = 31.11",AA US Equity,Alcoa Corp,2011,SA011,"Percentage Renewable Energy
  Consumed",31.11,ES
AA US Equity_2011_SA020,Company: Alcoa Corp (Ticker: AA US Equity) in 2011: Freshwater Withdrawals (Code: SA020) = 109000,AA US Equity,Alcoa Corp,2011,SA020,Freshwater Withdrawals,109000,ES
AA US Equity_2012_ES007,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Nitrogen Oxide Emissions (Code: ES007) = 33.7,AA US Equity,Alcoa Corp,2012,ES007,Nitrogen Oxide Emissions,33.7,ES
AA US Equity_2012_ES009,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: VOC Emissions (Code: ES009) = 4.8,AA US Equity,Alcoa Corp,2012,ES009,VOC Emissions,4.8,ES
AA US Equity_2012_ES014,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Total Energy Consumption (Code: ES014) = 115661,AA US Equity,Alcoa Corp,2012,ES014,Total Energy Consumption,115661,ES
AA US Equity_2012_ES036,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Emissions Reduction Initiatives (Code: ES036) = True,AA US Equity,Alcoa Corp,2012,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity_2012_ES041,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Environmental Quality ManagementPolicy (Code: ES041) = True,AA US Equity,Alcoa Corp,2012,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity_2012_ES045,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Pct Employees Unionized (Code: ES045) = 55.73,AA US Equity,Alcoa Corp,2012,ES045,Pct Employees Unionized,55.73,ES
AA US Equity_2012_ES057,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Health and Safety Policy (Code: ES057) = True,AA US Equity,Alcoa Corp,2012,ES057,Health and Safety Policy,True,ES
AA US Equity_2012_ES059,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Human Rights Policy (Code: ES059) = True,AA US Equity,Alcoa Corp,2012,ES059,Human Rights Policy,True,ES
AA US Equity_2012_ES077,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: GHG Scope 2 Location-Based (Code: ES077) = 16700,AA US Equity,Alcoa Corp,2012,ES077,GHG Scope 2 Location-Based,16700,ES
AA US Equity_2012_ES088,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Biodiversity Policy (Code: ES088) = True,AA US Equity,Alcoa Corp,2012,ES088,Biodiversity Policy,True,ES
AA US Equity_2012_ES092,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Lost Time Incident Rate - Employees (Code: ES092) = 0.13,AA US Equity,Alcoa Corp,2012,ES092,Lost Time Incident Rate - Employees,0.13,ES
AA US Equity_2012_ES105,"Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Climate Change Opportunities
  Discussed (Code: ES105) = False",AA US Equity,Alcoa Corp,2012,ES105,"Climate Change Opportunities
  Discussed",False,ES
AA US Equity_2012_ES106,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Risks of Climate Change Discussed (Code: ES106) = True,AA US Equity,Alcoa Corp,2012,ES106,Risks of Climate Change Discussed,True,ES
AA US Equity_2012_ES121,Company: Alcoa Corp (Ticker: AA US Equity) in 2012: Total Recordable Incident Rate - Employees (Code: ES121) = 1.07,AA US Equity,Alcoa Corp,2012,ES121,Total Recordable Incident Rate - Employees,1.07,ES
